codePoint,radicalId,numberOfStrokesInRadical,numberOfStrokes,onyomi,kunyomi,jisLevel,regular,forName
39107,182,11,20,HYOU,TSUMUJIKASE,2,false,false
39108,182,11,20,HYOU,TSUMUJIKASE,2,false,false
39110,182,12,21,HYOU,TSUMUJIKAZE,2,false,false
39131,183,0,9,HI,"TOBU,TOBASU",1,true,true
39132,183,12,21,"HON,HAN",HIRUGAERU,2,false,true
39135,184,0,9,"SHOKU,SHI,JIKI","KUU,KURAU,TABERU",1,true,true
39138,184,2,10,KI,UERU,1,true,true
39145,184,4,12,"TON,DON,CHUN",MUSHIMOCHI,2,false,false
39147,184,4,12,"YO,O","AKIRU,TAMAU",2,false,false
39149,184,4,12,"CHOKU,CHIKI","KATAMERU,TSUTSUSHIMU,TADASHII",2,false,false
39150,184,4,13,"IN,ON",NOMU,2,false,false
39151,184,4,12,"HAN,BON",MESHI,1,true,true
39154,184,4,12,"IN,ON",NOMU,1,true,true
39156,184,5,13,"I,SHI",AME,1,false,false
39164,184,5,13,"SHI,JI","KAU,YASHINAU",1,true,true
39165,184,5,13,HOU,AKIRU,1,true,true
39166,184,5,13,SHOKU,"KAZARU,KAZARI",1,true,true
39171,184,6,14,"KOU,KYOU",AME,2,false,false
39173,184,6,14,"HEI,HYOU",MOCHI,1,true,true
39177,184,6,14,SHOU,KAREII,2,false,false
39178,184,6,14,YOU,"YASHINAU,YASHINAI",1,true,true
39180,184,6,14,JI,"MOCHI,E,ESA",1,true,true
39184,184,7,16,"SAN,SON","TABEMONO,KUU",1,false,false
39186,184,7,15,DAI,UERU,2,false,false
39187,184,7,15,GA,UERU,1,true,true
39188,184,7,15,"HO,FU","YUUMESHI,KUU",2,false,false
39192,184,7,15,YO,AMARU,2,false,false
39197,184,7,15,"SHOKU,CHOKU","KAZARU,KAZARI",2,false,false
39198,184,8,16,"SEN,ZEN",HANAMUKE,2,false,false
39200,184,8,16,"HEI,HYOU","MOCHI,KURAU",2,false,false
39201,184,8,16,"KAN,AN","AN,ANKO",2,false,false
39204,184,8,16,TAN,"SUSUMU,KUU",2,false,false
39208,184,8,16,KAN,"YAKATA,TATE",1,true,true
39212,184,9,17,KO,KAYU,2,false,false
39214,184,9,18,"TETSU,TEN,DEN",,2,false,false
39229,184,10,17,KI,OKURU,2,false,false
39230,184,10,18,RYUU,MUSU,2,false,false
39234,184,10,17,UN,UDON,2,false,false
39237,184,11,19,"MAN,BAN",,2,false,false
39241,184,11,19,KIN,UERU,2,false,false
39243,184,12,20,"KI,GI",OKURU,2,false,false
39244,184,12,20,"SEN,ZEN",SONAERU,2,false,false
39248,184,12,20,"I,ETSU","SUERU,MUSEBU",2,false,false
39249,184,12,20,KI,UERU,2,false,false
39250,184,12,20,"JOU,NYOU",YUTAKA,2,false,false
39253,184,13,22,TOU,MUSABORU,2,false,false
39255,184,13,20,KYOU,"MOTENASU,AE,UKERU",1,false,true
39318,185,0,9,"SHU,SHUU","KUBI,KOUBE,SHIRUSHI",1,true,true
39319,185,2,11,KI,"HOOBONE,MICHI,KAKURERU",2,false,false
39320,185,8,17,KAKU,"MIMIKIRU,KUBIKIRU",2,false,false
39321,186,0,9,"KOU,KYOU","KAORI,KA",1,true,true
39333,186,9,18,"FUKU,HYOKU","KAORU,KA,KAORI",2,false,false
39336,186,11,20,"KEI,KYOU","KAORU,KAORI",1,false,true
39340,187,0,10,"BA,ME,MA",UMA,1,true,true
39341,187,2,12,"GYO,GO","TSUKAU,NORIMONO",2,false,false
39342,187,2,12,"HYOU,FUU","YORU,TANOMU",2,false,false
39347,187,3,13,"CHI,JI",HASERU,1,false,true
39348,187,3,13,"SHUN,KUN","NARERU,NARASU,SHITAGAU",1,false,true
39356,187,4,14,"BUN,MON",,2,false,false
39361,187,4,14,"BAKU,HAKU","MADARA,MAJIRU",1,false,false
39364,187,4,14,"TA,DA,TAI,DAI",NOSERU,1,true,true
39365,187,4,14,EKI,UMAYA,1,true,true
39366,187,4,14,KU,"KAKERU,KARU",1,true,true
39368,187,5,15,KU,"KAKERU,KARU",1,false,true
39376,187,5,15,"CHUU,CHU","TODOMARU,TODOMERU",1,true,true
39377,187,5,15,DO,"NIBUI,NOROI",2,false,false
39378,187,5,15,KU,KOMA,1,true,true
39381,187,5,15,GA,"NORU,SHINOGU",1,false,true
39384,187,5,15,TAI,"NUGU,NIBUI,OROKA",2,false,false
39387,187,5,15,SHI,"HASERU,HAYAI",2,false,false
39389,187,5,15,"TA,DA",SEMUSHI,2,false,false
39391,187,5,15,SHI,,2,false,false
39394,187,6,16,"HEN,BEN",NARABU,2,false,false
39405,187,6,16,"KAI,GAI",ODOROKU,2,false,false
39406,187,6,16,"HAKU,KAKU",MADARA,2,false,false
39409,187,6,16,RAKU,KAWARAGE,2,false,false
39410,187,6,16,,SHUU,2,false,false
39416,187,7,17,SHIN,,2,false,false
39419,187,7,17,KAN,"ARAUMA,ABAREUMA,KURA",2,false,false
39423,187,7,17,SHUN,"SUGURERU,OOKII,NAGAI",1,false,true
39425,187,7,17,TEI,HASERU,2,false,false
39429,187,8,18,SUI,ASHIGE,2,false,false
39438,187,8,18,KI,NORU,1,true,true
39439,187,8,18,KI,KUROMIDORI,2,false,false
39442,187,8,18,SOU,"SAWAGU,SAWAGASHII,UREI",1,true,true
39443,187,8,18,"KEN,GEN","SHIRUSHI,AKASHI,TAMESU",1,true,true
39449,187,9,19,HEN,KATARU,2,false,false
39464,187,9,19,"TAN,DAN,DA",MADARAUMA,1,false,false
39467,187,10,20,KEN,"KAKERU,SOKONAU,AYAMARU",2,false,false
39472,187,10,20,TOU,"NOBORU,AGARU",1,true,true
39479,187,10,19,SOU,SAWAGU,2,false,true
39486,187,11,21,RA,RABA,2,false,false
39488,187,11,20,"BAKU,BA","NORU,TACHIMACHI,MASSHIGURA",2,false,false
39490,187,11,21,SAN,SOEUMA,2,false,false
39491,187,11,21,HYOU,"SHIRAKAGE,TSUYOI,ISAMU",2,false,false
39493,187,11,21,"KU,KYUU","KAKERU,KARU",2,false,false
39501,187,12,22,"GYOU,KYOU",TAKESHI,2,false,true
39509,187,12,22,KYOU,OGORU,2,false,false
39511,187,13,23,"KEN,GEN","AKASHI,TAMESU,SHIRUSHI",2,false,true
39514,187,13,22,"KYOU,KEI","ODOROKU,ODOROKASU",1,true,true
39515,187,13,23,EKI,UMAYA,2,false,false
39519,187,14,24,SHUU,"HASERU,NIWAKA",2,false,false
39522,187,16,26,"RYO,RO",USAGIUMA,2,false,false
39524,187,17,27,"JOU,SHOU",AGARU,2,false,false
